0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/01.jpg HTTP/1.1" 200 80719
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/03.jpg HTTP/1.1" 200 42657
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/02.jpg HTTP/1.1" 200 189342
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/04.jpg HTTP/1.1" 200 71546
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/dino.jpg HTTP/1.1" 200 6274
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/glass1.gif HTTP/1.1" 200 17196
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/img/glass2.gif HTTP/1.1" 200 17027
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/js_css/images/bx_loader.gif HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /webApp/js_css/images/controls.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:49:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:19 +0900] "GET /webApp/jquery/plugin/p02_bxslider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:19 +0900] "GET /webApp/js_css/jquery.bxslider.css HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:19 +0900] "GET /webApp/js_css/images/bx_loader.gif HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:19 +0900] "GET /webApp/js_css/images/controls.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:20 +0900] "GET /webApp/jquery/plugin/p02_bxslider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:20 +0900] "GET /webApp/js_css/jquery.bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:20 +0900] "GET /webApp/jquery/plugin/p02_bxslider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:20 +0900] "GET /webApp/js_css/jquery.bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2022:17:51:20 +0900] "GET /webApp/jquery/plugin/p02_bxslider.html HTTP/1.1" 304 -
